FileName,Genotype,Category,Stage,Count,Notes
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,vsg,Germarium,11,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,vsg,Germarium,34,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,vsg,Germarium,15,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,vsg,Germarium,21,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,vsg,Germarium,14,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,pav_vsg,Germarium,28,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,pav_vsg,Germarium,29,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,pav_vsg,Germarium,12,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,pav_vsg,Germarium,11,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,pav_vsg,Germarium,12,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,pav_vsg_pnut,Germarium,4,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,pav_vsg_pnut,Germarium,15,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,pav_vsg_pnut,Germarium,9,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,pav_vsg_pnut,Germarium,12,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,pav_vsg_pnut,Germarium,11,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,pav,Germarium,7,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,pav,Germarium,16,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,pav,Germarium,7,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,pav,Germarium,6,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,pav,Germarium,8,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,pav_pnut,Germarium,3,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,pav_pnut,Germarium,6,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,pav_pnut,Germarium,2,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,pav_pnut,Germarium,2,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,pav_pnut,Germarium,4,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,vsg,Germarium,34,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,vsg,Germarium,41,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,vsg,Germarium,25,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,vsg,Germarium,15,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_006,WT,vsg,Germarium,32,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,pav_vsg,Germarium,32,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,pav_vsg,Germarium,33,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,pav_vsg,Germarium,20,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,pav_vsg,Germarium,16,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_006,WT,pav_vsg,Germarium,25,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,pav_vsg_pnut,Germarium,10,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,pav_vsg_pnut,Germarium,19,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,pav_vsg_pnut,Germarium,15,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,pav_vsg_pnut,Germarium,8,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_006,WT,pav_vsg_pnut,Germarium,9,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,pav,Germarium,17,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,pav,Germarium,23,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,pav,Germarium,13,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,pav,Germarium,12,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_006,WT,pav,Germarium,15,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,pav_pnut,Germarium,9,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,pav_pnut,Germarium,12,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,pav_pnut,Germarium,3,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,pav_pnut,Germarium,3,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_006,WT,pav_pnut,Germarium,8,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,vsg,Germarium,21,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_002,WT,vsg,Germarium,23,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_003,WT,vsg,Germarium,37,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_004,WT,vsg,Germarium,27,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_006,WT,vsg,Germarium,29,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_001,WT,pav_vsg,Germarium,15,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_002,WT,pav_vsg,Germarium,10,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_003,WT,pav_vsg,Germarium,20,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_004,WT,pav_vsg,Germarium,18,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_006,WT,pav_vsg,Germarium,18,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_001,WT,pav_vsg_pnut,Germarium,9,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_002,WT,pav_vsg_pnut,Germarium,10,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_003,WT,pav_vsg_pnut,Germarium,8,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_004,WT,pav_vsg_pnut,Germarium,10,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_006,WT,pav_vsg_pnut,Germarium,8,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_001,WT,pav,Germarium,18,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_002,WT,pav,Germarium,14,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_003,WT,pav,Germarium,19,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_004,WT,pav,Germarium,19,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_006,WT,pav,Germarium,9,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_001,WT,pav_pnut,Germarium,7,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_002,WT,pav_pnut,Germarium,8,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_003,WT,pav_pnut,Germarium,6,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_004,WT,pav_pnut,Germarium,6,
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no3_006,WT,pav_pnut,Germarium,5,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side1,WT,pav,Late_Follicle,2,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side1,WT,vsg,Late_Follicle,1,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side1,WT,pav_vsg,Late_Follicle,301,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side1,WT,pnut,Late_Follicle,2,this sample had more pav+ structures in the background -- unsure if this is actual rings or other structures
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side1,WT,pav_vsg_pnut,Late_Follicle,5,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side3,WT,pav,Late_Follicle,1,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side3,WT,vsg,Late_Follicle,3,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side3,WT,pav_vsg,Late_Follicle,390,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side3,WT,pnut,Late_Follicle,3,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side3,WT,pav_vsg_pnut,Late_Follicle,1,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side2,WT,pav,Late_Follicle,3,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side2,WT,vsg,Late_Follicle,0,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side2,WT,pav_vsg,Late_Follicle,220,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side2,WT,pnut,Late_Follicle,1,
pavmcherry_vsgGFP_GFPRFPpnut_slide_001_stage8side2,WT,pav_vsg_pnut,Late_Follicle,2,
