Genotype,Group,Replicate,VsgRings,TotalCells
pnutRNAi,Control,1,86,77
pnutRNAi,Control,1,38,56
pnutRNAi,Control,1,46,59
pnutRNAi,Control,1,58,69
pnutRNAi,Control,2,94,114
pnutRNAi,Control,2,85,79
pnutRNAi,Control,2,54,111
pnutRNAi,Control,2,66,86
pnutRNAi,Control,3,64,85
pnutRNAi,Control,3,37,88
pnutRNAi,Control,3,41,74
pnutRNAi,Control,3,45,73
pnutRNAi,pnutRNAi,1,29,71
pnutRNAi,pnutRNAi,1,31,44
pnutRNAi,pnutRNAi,1,27,63
pnutRNAi,pnutRNAi,1,18,47
pnutRNAi,pnutRNAi,2,28,53
pnutRNAi,pnutRNAi,2,64,84
pnutRNAi,pnutRNAi,2,36,24
pnutRNAi,pnutRNAi,2,51,29
pnutRNAi,pnutRNAi,3,27,41
pnutRNAi,pnutRNAi,3,12,34
pnutRNAi,pnutRNAi,3,31,63
pnutRNAi,pnutRNAi,3,48,74
