File_Name,Genotype,Group,Replicate,VsgRings,TotalCells
10930_shrb(RNAi)_vsg2_control_001,shrbRNAi,Control,1,48,70
10930_shrb(RNAi)_vsg2_control_002,shrbRNAi,Control,1,55,77
10930_shrb(RNAi)_vsg2_control_003,shrbRNAi,Control,1,57,73
10930_shrb(RNAi)_vsg2_control_004,shrbRNAi,Control,1,31,59
10930_shrb(RNAi)_vsg2_exp_001,shrbRNAi,Control,2,53,51
10930_shrb(RNAi)_vsg2_exp_003,shrbRNAi,Control,2,67,78
10930_shrb(RNAi)_vsg2_exp_004,shrbRNAi,Control,2,87,142
10930_shrb(RNAi)_vsg2_exp_008,shrbRNAi,Control,2,65,79
10930_shrb(RNAi)_vsgGFP_GFPfas3vasa_control001,shrbRNAi,Control,3,54,87
10930_shrb(RNAi)_vsgGFP_GFPfas3vasa_control004,shrbRNAi,Control,3,87,122
10930_shrb(RNAi)_vsgGFP_GFPfas3vasa_control006,shrbRNAi,Control,3,45,63
10930_shrb(RNAi)_vsgGFP_GFPfas3vasa_control008,shrbRNAi,Control,3,58,68
10930_shrb(RNAi)_vsgGFP_GFPfas3vasa_exp001,shrbRNAi,shrbRNAi,1,97,106
10930_shrb(RNAi)_vsgGFP_GFPfas3vasa_exp004,shrbRNAi,shrbRNAi,1,176,171
10930_shrb(RNAi)_vsgGFP_GFPfas3vasa_exp006,shrbRNAi,shrbRNAi,1,135,133
10930_shrb(RNAi)_vsgGFP_GFPfas3vasa_exp007,shrbRNAi,shrbRNAi,1,147,123
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_001,shrbRNAi,shrbRNAi,2,188,175
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_003,shrbRNAi,shrbRNAi,2,141,176
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_006,shrbRNAi,shrbRNAi,2,77,94
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_008,shrbRNAi,shrbRNAi,2,180,172
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_exp_003,shrbRNAi,shrbRNAi,3,165,178
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_exp_006,shrbRNAi,shrbRNAi,3,133,137
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_exp_007,shrbRNAi,shrbRNAi,3,100,114
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_exp_011,shrbRNAi,shrbRNAi,3,167,180
