Genotype,Group,Replicate,EduPositiveCells,TotalCells
shrbRNAi,Control,1,5,53
shrbRNAi,Control,1,2,45
shrbRNAi,Control,1,9,61
shrbRNAi,Control,1,6,46
shrbRNAi,Control,1,14,43
shrbRNAi,Control,1,2,44
shrbRNAi,Control,1,3,64
shrbRNAi,Control,1,8,36
shrbRNAi,Control,1,14,57
shrbRNAi,Control,1,2,19
shrbRNAi,Control,2,4,51
shrbRNAi,Control,2,2,54
shrbRNAi,Control,2,8,73
shrbRNAi,Control,2,4,43
shrbRNAi,Control,2,3,24
shrbRNAi,Control,2,1,21
shrbRNAi,Control,2,3,41
shrbRNAi,Control,2,7,57
shrbRNAi,Control,2,5,48
shrbRNAi,Control,2,4,45
shrbRNAi,Control,3,3,53
shrbRNAi,Control,3,3,70
shrbRNAi,Control,3,2,37
shrbRNAi,Control,3,8,70
shrbRNAi,Control,3,4,66
shrbRNAi,Control,3,9,81
shrbRNAi,Control,3,7,30
shrbRNAi,Control,3,6,53
shrbRNAi,Control,3,16,73
shrbRNAi,Control,3,15,66
shrbRNAi,shrbRNAi,1,14,61
shrbRNAi,shrbRNAi,1,39,194
shrbRNAi,shrbRNAi,1,56,227
shrbRNAi,shrbRNAi,1,62,350
shrbRNAi,shrbRNAi,1,87,346
shrbRNAi,shrbRNAi,1,43,227
shrbRNAi,shrbRNAi,1,34,94
shrbRNAi,shrbRNAi,1,32,154
shrbRNAi,shrbRNAi,1,41,271
shrbRNAi,shrbRNAi,1,77,286
shrbRNAi,shrbRNAi,2,23,97
shrbRNAi,shrbRNAi,2,10,72
shrbRNAi,shrbRNAi,2,32,194
shrbRNAi,shrbRNAi,2,28,169
shrbRNAi,shrbRNAi,2,55,142
shrbRNAi,shrbRNAi,2,36,108
shrbRNAi,shrbRNAi,2,23,227
shrbRNAi,shrbRNAi,2,10,55
shrbRNAi,shrbRNAi,2,8,29
shrbRNAi,shrbRNAi,2,21,340
shrbRNAi,shrbRNAi,3,48,157
shrbRNAi,shrbRNAi,3,48,158
shrbRNAi,shrbRNAi,3,55,212
shrbRNAi,shrbRNAi,3,55,171
shrbRNAi,shrbRNAi,3,73,268
shrbRNAi,shrbRNAi,3,20,74
shrbRNAi,shrbRNAi,3,11,53
shrbRNAi,shrbRNAi,3,31,88
shrbRNAi,shrbRNAi,3,28,78
shrbRNAi,shrbRNAi,3,23,120
