Genotype,Group,Replicate,Germarium,Total_LamC_Cells
shrbRNAi,Control,1,1,0
shrbRNAi,Control,1,2,0
shrbRNAi,Control,1,3,0
shrbRNAi,Control,1,4,1
shrbRNAi,Control,1,5,1
shrbRNAi,Control,1,6,0
shrbRNAi,Control,1,7,1
shrbRNAi,Control,1,8,0
shrbRNAi,Control,1,9,0
shrbRNAi,Control,1,10,0
shrbRNAi,Control,2,1,2
shrbRNAi,Control,2,2,2
shrbRNAi,Control,2,3,1
shrbRNAi,Control,2,4,1
shrbRNAi,Control,2,5,4
shrbRNAi,Control,2,6,1
shrbRNAi,Control,2,7,3
shrbRNAi,Control,2,8,2
shrbRNAi,Control,2,9,4
shrbRNAi,Control,2,10,4
shrbRNAi,Control,3,1,0
shrbRNAi,Control,3,2,0
shrbRNAi,Control,3,3,0
shrbRNAi,Control,3,4,0
shrbRNAi,Control,3,5,0
shrbRNAi,Control,3,6,0
shrbRNAi,Control,3,7,0
shrbRNAi,Control,3,8,1
shrbRNAi,Control,3,9,0
shrbRNAi,Control,3,10,0
shrbRNAi,shrbRNAi,1,1,35
shrbRNAi,shrbRNAi,1,2,10
shrbRNAi,shrbRNAi,1,3,39
shrbRNAi,shrbRNAi,1,4,13
shrbRNAi,shrbRNAi,1,5,14
shrbRNAi,shrbRNAi,1,6,32
shrbRNAi,shrbRNAi,1,7,20
shrbRNAi,shrbRNAi,1,8,31
shrbRNAi,shrbRNAi,1,9,4
shrbRNAi,shrbRNAi,2,1,2
shrbRNAi,shrbRNAi,2,2,19
shrbRNAi,shrbRNAi,2,3,11
shrbRNAi,shrbRNAi,2,4,17
shrbRNAi,shrbRNAi,2,5,15
shrbRNAi,shrbRNAi,2,6,27
shrbRNAi,shrbRNAi,2,7,29
shrbRNAi,shrbRNAi,2,8,15
shrbRNAi,shrbRNAi,2,9,15
shrbRNAi,shrbRNAi,2,10,15
shrbRNAi,shrbRNAi,3,1,20
shrbRNAi,shrbRNAi,3,2,19
shrbRNAi,shrbRNAi,3,3,21
shrbRNAi,shrbRNAi,3,4,27
shrbRNAi,shrbRNAi,3,5,16
shrbRNAi,shrbRNAi,3,6,1
shrbRNAi,shrbRNAi,3,7,20
shrbRNAi,shrbRNAi,3,8,2
shrbRNAi,shrbRNAi,3,9,18
