Filename,Replicate,Genotype,ModelTL,FalsePos,FalseNeg,Corrected
10930ts_pnutRNAi_vsgGFP_GFPfas3vasa_slide07102025_control001p_wlabel.tif,1,Pnut,45,18,50,77
10930ts_pnutRNAi_vsgGFP_GFPfas3vasa_slide07102025_control005p_wlabel.tif,1,Pnut,12,11,52,53
10930ts_pnutRNAi_vsgGFP_GFPfas3vasa_slide07102025_control006p_wlabel.tif,1,Pnut,31,21,44,54
10930ts_pnutRNAi_vsgGFP_GFPfas3vasa_slide07102025_control007p_wlabel.tif,1,Pnut,53,23,29,59
10930ts_pnut(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_001p_wlabel.tif,2,Pnut,75,42,41,74
10930ts_pnut(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_003p_wlabel.tif,2,Pnut,67,34,29,62
10930ts_pnut(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_004p_wlabel.tif,2,Pnut,85,47,46,84
10930ts_pnut(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_006p_wlabel.tif,2,Pnut,48,27,45,66
10930ts_pnut(RNAi)_vsgGFP_GFPfas3vasa_slide12132025_control_001p_wlabel.tif,3,Pnut,26,8,61,79
10930ts_pnut(RNAi)_vsgGFP_GFPfas3vasa_slide12132025_control_003p_wlabel.tif,3,Pnut,56,19,31,68
10930ts_pnut(RNAi)_vsgGFP_GFPfas3vasa_slide12132025_control_008p_wlabel.tif,3,Pnut,57,18,29,64
10930ts_pnut(RNAi)_vsgGFP_GFPfas3vasa_slide12132025_control_010p_wlabel.tif,3,Pnut,34,15,41,60
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_001p_wlabel.tif,3,Shrb,38,17,66,87
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_003p_wlabel.tif,3,Shrb,29,15,109,122
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_006p_wlabel.tif,3,Shrb,20,7,50,63
10930ts_shrb(RNAi)_vsgGFP_GFPfas3vasa_slide11152025_control_008p_wlabel.tif,3,Shrb,22,7,53,68
10930ts_pnut(RNAi)_fas3edu_slide11282025_control_001p_wlabel.tif,1,Pnut,49,9,60,100
10930ts_pnut(RNAi)_fas3edu_slide11282025_control_002p_wlabel.tif,1,Pnut,59,20,22,61
10930ts_pnut(RNAi)_fas3edu_slide11282025_control_003p_wlabel.tif,1,Pnut,13,3,29,39
10930ts_pnut(RNAi)_fas3edu_slide11282025_control_004p_wlabel.tif,1,Pnut,40,6,38,72
10930ts_pnut(RNAi)_fas3edu_slide11282025_control_005p_wlabel.tif,1,Pnut,39,7,43,75
10930ts_pnut(RNAi)_fas3eduvasa_slide11282025_control_006p_wlabel.tif,1,Pnut,28,7,57,78
10930ts_pnut(RNAi)_fas3eduvasa_slide11282025_control_007p_wlabel.tif,1,Pnut,16,3,33,46
10930ts_pnut(RNAi)_fas3eduvasa_slide11282025_control_008p_wlabel.tif,1,Pnut,25,8,23,40
10930ts_pnut(RNAi)_fas3eduvasa_slide11282025_control_009p_wlabel.tif,1,Pnut,21,6,33,48
10930ts_pnut(RNAi)_fas3eduvasa_slide11282025_control_010p_wlabel.tif,1,Pnut,47,7,49,89
10930ts_pnut(RNAi)_fas3edu_slide01242026_control_001p_wlabel.tif,2,Pnut,89,26,19,82
10930ts_pnut(RNAi)_fas3edu_slide01242026_control_002p_wlabel.tif,2,Pnut,65,25,38,78
10930ts_pnut(RNAi)_fas3edu_slide01242026_control_003p_wlabel.tif,2,Pnut,60,18,34,76
10930ts_pnut(RNAi)_fas3edu_slide01242026_control_004p_wlabel.tif,2,Pnut,45,13,39,71
10930ts_pnut(RNAi)_fas3edu_slide01242026_control_005p_wlabel.tif,2,Pnut,53,20,42,75
10930ts_pnut(RNAi)_fas3eduvasa_slide01242026_control_006p_wlabel.tif,2,Pnut,46,13,43,76
10930ts_pnut(RNAi)_fas3eduvasa_slide01242026_control_007p_wlabel.tif,2,Pnut,36,13,29,52
10930ts_pnut(RNAi)_fas3eduvasa_slide01242026_control_008p_wlabel.tif,2,Pnut,22,8,16,30
10930ts_pnut(RNAi)_fas3eduvasa_slide01242026_control_009p_wlabel.tif,2,Pnut,41,13,31,59
10930ts_pnut(RNAi)_fas3eduvasa_slide01242026_control_010p_wlabel.tif,2,Pnut,61,17,33,77
10930ts_pnut(RNAi)_fas3edu_slide03302026_001p_wlabel.tif,3,Pnut,83,9,60,134
10930ts_pnut(RNAi)_fas3edu_slide03302026_002p_wlabel.tif,3,Pnut,39,22,23,40
10930ts_pnut(RNAi)_fas3edu_slide03302026_003p_wlabel.tif,3,Pnut,79,4,13,88
10930ts_pnut(RNAi)_fas3edu_slide03302026_004p_wlabel.tif,3,Pnut,75,8,36,103
10930ts_pnut(RNAi)_fas3edu_slide03302026_005p_wlabel.tif,3,Pnut,37,7,38,68
10930ts_pnut(RNAi)_fas3edu_slide03302026_006p_wlabel.tif,3,Pnut,50,23,21,48
10930ts_pnut(RNAi)_fas3edu_slide03302026_007p_wlabel.tif,3,Pnut,60,31,18,47
10930ts_pnut(RNAi)_fas3edu_slide03302026_008p_wlabel.tif,3,Pnut,39,9,31,61
10930ts_pnut(RNAi)_fas3edu_slide03302026_009p_wlabel.tif,3,Pnut,68,20,24,72
10930ts_pnut(RNAi)_fas3edu_slide03302026_010p_wlabel.tif,3,Pnut,72,19,42,95
10930ts_shrb(RNAi)_ph3fas3vasa_slide07172025_control_ps2c_labels.tif,1,Shrb,57,3,39,93
10930ts_shrb(RNAi)_ph3fas3vasa_slide07172025_control_ps3c_labels.tif,1,Shrb,47,9,9,47
10930ts_shrb(RNAi)_ph3fas3vasa_slide07172025_control_ps4c_labels.tif,1,Shrb,63,10,13,66
10930ts_shrb(RNAi)_ph3fas3vasa_slide07172025_control_ps5c_labels.tif,1,Shrb,39,2,37,74
10930ts_shrb(RNAi)_ph3fas3vasa_slide07282025_control1p_labels.tif,2,Shrb,32,8,8,32
10930ts_shrb(RNAi)_ph3fas3vasa_slide07282025_control2p_labels.tif,2,Shrb,30,6,12,36
10930ts_shrb(RNAi)_ph3fas3vasa_slide07282025_control3p_labels.tif,2,Shrb,25,5,10,30
10930ts_shrb(RNAi)_ph3fas3vasa_slide07282025_control4p_labels.tif,2,Shrb,31,11,12,32
10930ts_shrb(RNAi)_ph3fas3vasa_slide07282025_control5p_labels.tif,2,Shrb,24,3,11,32
10930ts_shrb(RNAi)cyo_ph3fas3vasa_slide09292025_control_001p_labels.tif,3,Shrb,33,3,27,57
