File_Name,Genotype,Replicate,Germarium,Category,Positive_Structures
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_001p_xyadjusted_labelings.tif,WT,1,1,ptyr_vsg,12
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_002p_xyadjusted_labelings.tif,WT,1,2,ptyr_vsg,9
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_004p_xyadjusted_labelings.tif,WT,1,3,ptyr_vsg,7
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_005p_xyadjusted_labelings.tif,WT,1,4,ptyr_vsg,7
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_006p_xyadjusted_labelings.tif,WT,1,5,ptyr_vsg,10
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_001p_xyadjusted_labelings.tif,WT,1,1,ptyr_pav,1
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_002p_xyadjusted_labelings.tif,WT,1,2,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_004p_xyadjusted_labelings.tif,WT,1,3,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_005p_xyadjusted_labelings.tif,WT,1,4,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_006p_xyadjusted_labelings.tif,WT,1,5,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_001p_xyadjusted_labelings.tif,WT,1,1,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_002p_xyadjusted_labelings.tif,WT,1,2,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_004p_xyadjusted_labelings.tif,WT,1,3,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_005p_xyadjusted_labelings.tif,WT,1,4,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_006p_xyadjusted_labelings.tif,WT,1,5,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_001p_xyadjusted_labelings.tif,WT,1,1,vsg,4
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_002p_xyadjusted_labelings.tif,WT,1,2,vsg,6
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_004p_xyadjusted_labelings.tif,WT,1,3,vsg,5
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_005p_xyadjusted_labelings.tif,WT,1,4,vsg,8
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_006p_xyadjusted_labelings.tif,WT,1,5,vsg,10
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_001p_xyadjusted_labelings.tif,WT,1,1,pav,24
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_002p_xyadjusted_labelings.tif,WT,1,2,pav,10
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_004p_xyadjusted_labelings.tif,WT,1,3,pav,9
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_005p_xyadjusted_labelings.tif,WT,1,4,pav,12
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_006p_xyadjusted_labelings.tif,WT,1,5,pav,12
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_001p_xyadjusted_labelings.tif,WT,1,1,pav_vsg,21
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_002p_xyadjusted_labelings.tif,WT,1,2,pav_vsg,23
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_004p_xyadjusted_labelings.tif,WT,1,3,pav_vsg,17
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_005p_xyadjusted_labelings.tif,WT,1,4,pav_vsg,17
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide05082026_006p_xyadjusted_labelings.tif,WT,1,5,pav_vsg,18
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_002p_xyadjusted_labelings.tif,WT,2,1,ptyr_vsg,22
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_003p_xyadjusted_labelings.tif,WT,2,2,ptyr_vsg,22
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_004p_labelings.tif,WT,2,3,ptyr_vsg,21
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_005p_xyadjusted_labelings.tif,WT,2,4,ptyr_vsg,40
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_006p_xyadjusted_labelings.tif,WT,2,5,ptyr_vsg,39
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_002p_xyadjusted_labelings.tif,WT,2,1,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_003p_xyadjusted_labelings.tif,WT,2,2,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_004p_labelings.tif,WT,2,3,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_005p_xyadjusted_labelings.tif,WT,2,4,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_006p_xyadjusted_labelings.tif,WT,2,5,ptyr_pav,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_002p_xyadjusted_labelings.tif,WT,2,1,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_003p_xyadjusted_labelings.tif,WT,2,2,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_004p_labelings.tif,WT,2,3,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_005p_xyadjusted_labelings.tif,WT,2,4,ptyr_pav_vsg,0
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_006p_xyadjusted_labelings.tif,WT,2,5,ptyr_pav_vsg,1
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_002p_xyadjusted_labelings.tif,WT,2,1,vsg,11
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_003p_xyadjusted_labelings.tif,WT,2,2,vsg,5
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_004p_labelings.tif,WT,2,3,vsg,5
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_005p_xyadjusted_labelings.tif,WT,2,4,vsg,12
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_006p_xyadjusted_labelings.tif,WT,2,5,vsg,11
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_002p_xyadjusted_labelings.tif,WT,2,1,pav,14
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_003p_xyadjusted_labelings.tif,WT,2,2,pav,13
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_004p_labelings.tif,WT,2,3,pav,7
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_005p_xyadjusted_labelings.tif,WT,2,4,pav,18
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_006p_xyadjusted_labelings.tif,WT,2,5,pav,18
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_002p_xyadjusted_labelings.tif,WT,2,1,pav_vsg,21
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_003p_xyadjusted_labelings.tif,WT,2,2,pav_vsg,19
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_004p_labelings.tif,WT,2,3,pav_vsg,18
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_005p_xyadjusted_labelings.tif,WT,2,4,pav_vsg,23
../Images/LabelCount/pavmcherry_vsgGFP_GFPRFPptyr_slide06102026_006p_xyadjusted_labelings.tif,WT,2,5,pav_vsg,25
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_001_xyadjusted_labelings.tif,WT,3,1,ptyr_vsg,36
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_002_xyadjusted_labelings.tif,WT,3,2,ptyr_vsg,31
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_003_labelings.tif,WT,3,3,ptyr_vsg,28
../Images/LabelCount/pavmcherry_vsgGFP_ptyr_004_xyadjusted_labelings.tif,WT,3,4,ptyr_vsg,38
