Genotype,Group,Replicate,EduPositiveCells,TotalCells
pnutRNAi,Control,1,15,100
pnutRNAi,Control,1,9,61
pnutRNAi,Control,1,3,39
pnutRNAi,Control,1,10,72
pnutRNAi,Control,1,3,75
pnutRNAi,Control,1,10,78
pnutRNAi,Control,1,7,46
pnutRNAi,Control,1,6,40
pnutRNAi,Control,1,3,48
pnutRNAi,Control,1,17,89
pnutRNAi,Control,2,3,82
pnutRNAi,Control,2,3,78
pnutRNAi,Control,2,6,76
pnutRNAi,Control,2,6,71
pnutRNAi,Control,2,6,75
pnutRNAi,Control,2,5,76
pnutRNAi,Control,2,9,52
pnutRNAi,Control,2,5,30
pnutRNAi,Control,2,12,59
pnutRNAi,Control,2,19,77
pnutRNAi,Control,3,16,134
pnutRNAi,Control,3,12,40
pnutRNAi,Control,3,2,88
pnutRNAi,Control,3,9,103
pnutRNAi,Control,3,6,68
pnutRNAi,Control,3,3,48
pnutRNAi,Control,3,10,47
pnutRNAi,Control,3,8,61
pnutRNAi,Control,3,21,72
pnutRNAi,Control,3,19,95
pnutRNAi,pnutRNAi,1,8,35
pnutRNAi,pnutRNAi,1,22,84
pnutRNAi,pnutRNAi,1,21,65
pnutRNAi,pnutRNAi,1,7,52
pnutRNAi,pnutRNAi,1,3,27
pnutRNAi,pnutRNAi,1,2,38
pnutRNAi,pnutRNAi,1,15,45
pnutRNAi,pnutRNAi,1,9,49
pnutRNAi,pnutRNAi,1,16,91
pnutRNAi,pnutRNAi,1,11,54
pnutRNAi,pnutRNAi,2,27,40
pnutRNAi,pnutRNAi,2,19,65
pnutRNAi,pnutRNAi,2,6,45
pnutRNAi,pnutRNAi,2,6,30
pnutRNAi,pnutRNAi,2,19,30
pnutRNAi,pnutRNAi,2,9,33
pnutRNAi,pnutRNAi,2,22,56
pnutRNAi,pnutRNAi,2,7,48
pnutRNAi,pnutRNAi,2,10,41
pnutRNAi,pnutRNAi,2,15,79
pnutRNAi,pnutRNAi,3,9,89
pnutRNAi,pnutRNAi,3,23,43
pnutRNAi,pnutRNAi,3,12,40
pnutRNAi,pnutRNAi,3,7,89
pnutRNAi,pnutRNAi,3,4,60
pnutRNAi,pnutRNAi,3,10,38
pnutRNAi,pnutRNAi,3,23,74
pnutRNAi,pnutRNAi,3,5,48
pnutRNAi,pnutRNAi,3,6,35
pnutRNAi,pnutRNAi,3,7,37
