File name,Genotype,Replicate,Category,RC_Count,Cell_Count
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,1,vsg,11,83
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,1,vsg,34,118
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,1,vsg,15,70
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,1,vsg,21,58
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,1,vsg,14,60
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,1,"vsg, pav",28,83
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,1,"vsg, pav",29,118
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,1,"vsg, pav",12,70
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,1,"vsg, pav",11,58
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,1,"vsg, pav",12,60
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,1,"pav, vsg, pnut",4,83
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,1,"pav, vsg, pnut",15,118
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,1,"pav, vsg, pnut",9,70
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,1,"pav, vsg, pnut",12,58
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,1,"pav, vsg, pnut",11,60
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,1,pav,7,83
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,1,pav,16,118
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,1,pav,7,70
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,1,pav,6,58
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,1,pav,8,60
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_002,WT,1,"pav, pnut",3,83
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_003,WT,1,"pav, pnut",6,118
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_004,WT,1,"pav, pnut",2,70
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_005,WT,1,"pav, pnut",2,58
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no1_006,WT,1,"pav, pnut",4,60
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,2,vsg,34,100
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,2,vsg,41,140
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,2,vsg,25,89
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,2,vsg,15,74
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_006,WT,2,vsg,32,99
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,2,"vsg, pav",32,100
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,2,"vsg, pav",33,140
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,2,"vsg, pav",20,89
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,2,"vsg, pav",16,74
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_006,WT,2,"vsg, pav",25,99
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,2,"pav, vsg, pnut",10,100
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,2,"pav, vsg, pnut",19,140
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,2,"pav, vsg, pnut",15,89
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,2,"pav, vsg, pnut",8,74
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_006,WT,2,"pav, vsg, pnut",9,99
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_001,WT,2,pav,17,100
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_003,WT,2,pav,23,140
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_004,WT,2,pav,13,89
pavmcherry_vsgGFP_GFPRFPpnut_slide05272026_no2_005,WT,2,pav,12,74
