,Genotype,Sample,label,area,DAPI_mean,DAPI_total
0,Control,0,4,24101.0,147.53993610223642,3555860.0
1,Control,0,5,16028.0,121.58335413027203,1948738.0
2,Control,0,6,24198.0,135.33655674022646,3274874.0
3,Control,0,7,22117.0,121.10394718994439,2678456.0
4,Control,0,9,23163.0,167.91132409446098,3889329.9999999995
5,Control,0,12,15385.0,124.32297692557687,1912709.0
6,Control,0,16,28296.0,141.87082979926492,4014377.0000000005
7,Control,0,17,21339.0,195.71334176859273,4176327.0
8,Control,0,18,25034.0,146.7721498761684,3674294.0
9,Control,0,19,15652.0,100.09915665729619,1566752.0
10,Control,0,20,22449.0,152.7860038309056,3429893.0
11,Control,0,21,14123.0,141.44353182751541,1997607.0000000002
12,Control,0,23,15547.0,93.82755515533543,1458737.0
13,Control,0,24,14481.0,97.99454457565085,1419059.0
14,Control,0,29,10600.0,123.19783018867925,1305897.0
15,Control,0,30,23309.0,119.22145952207302,2778933.0
16,Control,0,31,24129.0,147.80202246259688,3566315.0
17,Control,0,32,14185.0,320.8533662319351,4551305.0
18,Control,0,36,20591.0,149.44791413724442,3077282.0
19,Control,0,37,22192.0,174.61711427541456,3875103.0
20,Control,0,38,22274.0,116.97194037891713,2605433.0
21,Control,0,42,14802.0,102.86292392919876,1522577.0
22,Control,0,57,27305.0,107.57765976927303,2937408.0
23,Control,0,66,23695.0,161.82262080607723,3834387.0
24,Control,0,68,13770.0,102.02672476397967,1404908.0
25,Control,0,311,31868.0,138.35210869838082,4409005.0
26,Control,0,548,13903.0,214.83852405955548,2986900.0
27,Control,0,782,26438.0,212.33867917391632,5613810.0
28,Control,0,1094,16462.0,166.2127930992589,2736195.0
29,Control,0,1181,8662.0,171.6288386054029,1486649.0
30,Control,0,1257,27001.0,133.99559275582385,3618015.0
31,Control,0,1659,22283.0,219.50504869182785,4891231.0
32,Control,0,1736,2872.0,67.1100278551532,192740.0
33,Control,0,1737,12325.0,145.0756186612576,1788057.0
34,Control,0,1784,20890.0,211.54447103877453,4419164.0
35,Control,0,1791,16846.0,373.998990858364,6300387.0
36,Control,0,1875,11970.0,199.63316624895572,2389609.0
38,Control,0,1886,22659.0,171.0091354428704,3874896.0
39,Control,0,1921,12125.0,148.3439175257732,1798670.0000000002
40,Control,0,1942,9742.0,136.9319441593102,1333991.0
41,Control,0,1956,17841.0,186.66033294097863,3330207.0
42,Control,0,1965,13618.0,161.41188133352915,2198107.0
43,Control,0,1966,20093.0,245.13751057582243,4925548.0
44,Control,0,1971,1831.0,91.97214636810486,168401.0
45,Control,0,2015,9329.0,176.38031943402294,1645452.0
46,Control,0,2069,10540.0,121.86869070208729,1284496.0
47,Control,0,2070,11159.0,124.24957433461779,1386501.0
48,Control,0,2073,8602.0,214.84398976982098,1848088.0
49,Control,0,2089,12958.0,167.17687914801667,2166278.0
50,Control,0,2096,12119.0,192.50309431471243,2332945.0
51,Control,0,2104,10023.0,204.67255312780605,2051433.0
52,Control,0,2110,12873.0,193.7499417385225,2494143.0
53,Control,0,2121,12286.0,202.6434966628683,2489678.0
54,Control,0,2137,14822.0,175.93185804884632,2607662.0
55,Control,0,2143,11312.0,164.28668670438472,1858411.0
56,Control,0,2147,17480.0,238.04244851258582,4160982.0
57,Control,0,2163,10911.0,135.30684630189717,1476333.0
58,Control,0,2166,14409.0,165.36720105489624,2382776.0
59,Control,0,2170,9707.0,158.69032656845576,1540407.0
60,Control,0,2175,12589.0,201.39383588847406,2535347.0
61,Control,0,2181,6863.0,104.19233571324493,715072.0
62,Control,0,2182,17461.0,195.8023022736384,3418904.0
63,Control,0,2183,13130.0,189.7938309215537,2491993.0
64,Control,0,2184,8112.0,132.35675542406312,1073678.0
65,Control,0,2185,13306.0,180.0,2395080.0
66,Control,0,2186,10696.0,122.89491398653702,1314484.0
67,Control,0,2187,8337.0,128.8029267122466,1073830.0
68,Control,0,2192,11880.0,181.6199494949495,2157645.0
69,Control,0,2200,13195.0,198.97514209928002,2625477.0
70,Control,0,2205,11420.0,155.33739054290717,1773953.0
